SKU,created_at,day,pSupplierSKU,psupplierCode,qty_count,order_count,price,pName
1000823519,"2014-12-26 01:53:42",0,E27-5W-W,141-0005,2,1,3.74,"LED Spot Bulb E27 5W 400LM 5-LED High Power Cool White-Silver(AC85-265V)"
2400925842,"2014-12-26 02:45:14",0,S100-AU,141-0005,1,1,16.91,"LED Headlamp CREE XM-L U2 700LM 3-Mode Cool White Zooming Focus-Black+Purple(2x18650) AU Plug"
2540728313,"2014-12-26 03:20:52",0,PC-UW3W-WW,206-0005,3,1,12.36,"LED Underwater Light 3W 260-280LM High Power Warm White-Silver(DC12V)"
1000928164,"2014-12-26 03:27:18",0,GY-GU10-24-5050-CW-1,119-0001,3,1,1.63,"LED Spot Bulb GU10 3W 250LM 24xSMD5050 Cool White(AC220-240V)"
1000728162,"2014-12-26 03:27:18",0,GY-E14-27-5050-WW-1,119-0001,3,1,1.63,"LED Spot Bulb E14 3W 260LM SMD5050 Warm White(AC220-240V)"
1300920566,"2014-12-26 03:58:59",0,SF-700,141-0006,1,1,12.36,"LED Headlamp Cree T6 800Lm 3-Mode (2*18650,Black+Silver) US Standard"
1000723180,"2014-12-26 04:08:28",0,LX-TG-SB-5-HL,119-0014,10,1,5.69,"LED Spot Bulb E14 6.5W 100-520LM 15*SMD5730 Dimmable Warm White-Silver(AC220-240V)"
1300811142,"2014-12-26 04:57:57",0,SF-78,141-0006,1,1,9.76,"Cree XPE R2 3-Mode 200-Lumen Black Shell LED Flashlight"
1010725441,"2014-12-26 05:14:45",0,BL-Q88-WW,119-0015,2,1,6.56,"LED Ball Bulb E27 7W 560Lm 14xSMD5730 Warm White-Silver(AC85-265V)"
1020710324,"2014-12-26 05:14:45",0,GY-E27-44-5050-WW,119-0001,3,1,6.83,"6W E27 AC110-220V Warm White Corn Bulb"
3550024960,"2014-12-26 07:18:06",0,GEX-M90-R,245-0002,1,1,13.01,"LED Desk Lamp USB Rechargeable Yellow Light-Red(Novel Design)"
